Season,Team,League,Division,Payroll,Win_Percent
2022,Arizona Diamondbacks,National,West,"75,993,000",0.457
2022,Atlanta Braves,National,East,"173,935,000",0.623
2022,Baltimore Orioles,American,East,"30,221,000",0.512
2022,Boston Red Sox,American,East,"195,166,000",0.481
2022,Chicago Cubs,National,Central,"130,560,000",0.457
2022,Chicago White Sox,American,Central,"181,661,000",0.5
2022,Cincinnati Reds,National,Central,"99,580,000",0.383
2022,Cleveland Guardians,American,Central,"42,310,000",0.568
2022,Colorado Rockies,National,West,"129,452,000",0.42
2022,Detroit Tigers,American,Central,"116,040,000",0.407
2022,Houston Astros,American,West,"163,940,000",0.654
2022,Kansas City Royals,American,Central,"74,110,000",0.401
2022,Los Angeles Angels,American,West,"169,413,000",0.451
2022,Los Angeles Dodgers,National,West,"277,108,000",0.685
2022,Miami Marlins,National,East,"69,000,000",0.426
2022,Milwaukee Brewers,National,Central,"122,281,000",0.531
2022,Minnesota Twins,American,Central,"110,860,000",0.481
2022,New York Mets,National,East,"253,120,000",0.623
2022,New York Yankees,American,East,"240,291,000",0.611
2022,Oakland Athletics,American,West,"32,548,000",0.37
2022,Philadelphia Phillies,National,East,"221,738,000",0.537
2022,Pittsburgh Pirates,National,Central,"37,875,000",0.383
2022,San Diego Padres,National,West,"208,773,000",0.549
2022,San Francisco Giants,National,West,"142,293,000",0.5
2022,Seattle Mariners,American,West,"92,746,000",0.556
2022,St. Louis Cardinals,National,Central,"150,747,000",0.574
2022,Tampa Bay Rays,American,East,"75,348,000",0.531
2022,Texas Rangers,American,West,"134,961,000",0.42
2022,Toronto Blue Jays,American,East,"168,071,000",0.568
2022,Washington Nationals,National,East,"114,623,000",0.34
2021,Arizona Diamondbacks,National,West,"89,077,000",0.321
2021,Atlanta Braves,National,East,"134,459,000",0.547
2021,Baltimore Orioles,American,East,"45,701,000",0.321
2021,Boston Red Sox,American,East,"180,262,000",0.568
2021,Chicago Cubs,National,Central,"149,666,000",0.438
2021,Chicago White Sox,American,Central,"125,988,000",0.574
2021,Cincinnati Reds,National,Central,"118,748,000",0.512
2021,Cleveland Guardians,American,Central,"46,833,000",0.494
2021,Colorado Rockies,National,West,"103,987,000",0.46
2021,Detroit Tigers,American,Central,"80,399,000",0.475
2021,Houston Astros,American,West,"171,019,000",0.586
2021,Kansas City Royals,American,Central,"87,779,000",0.457
2021,Los Angeles Angels,American,West,"177,353,000",0.475
2021,Los Angeles Dodgers,National,West,"235,413,000",0.654
2021,Miami Marlins,National,East,"49,425,000",0.414
