title,release_date,norm_text,poster_path
#1 Cheerleader Camp,2010-07-27,pair horny college guy summer job sexy cheerleader camp cheerleader sport teenage girl Comedy,/jnZ9RiTyusgR3D6QOhF7CAI44TK.jpg
#SquadGoals,2018-01-16,ambitious high school senior samantha hodges journalist school paper yearbook friend nate gillian rudy vie ride local scholarship college close mother emily school guidance counselor samantha find reporting take investigative turn classmate contender scholarship murder friendship Drama Thriller,/j5CNWCRvYonv4jMukmMe267T3Cr.jpg
$,1971-12-15,bank security expert plot girl rob safety deposit box different criminal high tech bank hamburg germany prostitute drug smuggling heist Comedy Crime Drama,/3cbc323a4VlTHFIU4nGWccwvNHG.jpg
'Til We Meet Again,1940-04-20,die joan ames meet criminal dan hardesty luxury liner transport america policeman steve burke face execution joan dan fall love fate unbeknownst hawaii honolulu hawaii incurable disease Romance,/cdLSS2nLG5bRyBfQq61fRfuw1iY.jpg
"'night, Mother",1986-09-12,mother daughter spend night daughter reveal kill end suicide parent child relationship epilepsy pulitzer prize base play musical epileptic location mother daughter relationship hander Drama,/yXORA6X2Bn8UwZtCNMbjlj4HMBR.jpg
(500) Days of Summer,2009-07-17,tom greeting card writer hopeless romantic catch completely guard girlfriend summer suddenly dump reflect 500 day try figure love affair go sour tom rediscover true passion life date jealousy fight architect gallery interview sister love friend fate los angeles california summer year heartache Comedy Drama Romance,/f9mbM0YMLpYemcWx6o2WeiYQLDP.jpg
*batteries not included,1987-12-18,soon demolish block apartment resident resist criminal method force leave greedy tycoon build new skyscraper tiny mechanical alien land recharge decide stay help new york city extraterrestrial technology spacecraft alien life form apartment build elderly couple property development Science Fiction Comedy Family,/w5zjRAVPC7lJODxn3QxMewwaPgp.jpg
-30-,1959-11-11,newspaper editor deal particularly stressful day newsroom newspaper man Drama,/drD44LG1HnOZ9iuyJg639rdPOxy.jpg
...All the Marbles,1981-03-01,bit promoter try woman wrestling team wrestle mud wrestling Comedy Drama,/qv0WuNiP93ahEEYDFwC5DcjJmOS.jpg
...And Justice for All,1979-10-19,ethical baltimore defense lawyer disgust rampant legal corruption force defend judge despise rape trial threat disbar lawyer courtroom extramarital affair courtroom drama legal thriller Crime Drama Thriller,/32NmJn0p4o9BdWVpEhuyxzwsqhL.jpg
10,1979-10-05,hollywood songwriter go mid life crisis infatuate sexy blonde newlywed mexico beach midlife crisis honeymoon marriage crisis love romance songwriter Comedy Romance,/kC8cInADdO6eUe94d8rv3GTT0Ng.jpg
10 Rillington Place,1971-02-10,story british serial killer john christie commit crime titular terrace house miscarriage justice involve timothy evans london england biography base true story serial killer cult film 1940 Crime Drama Thriller,/aQP2rSIciaeb2FGPeOQIWsCysts.jpg
"10,000 BC",2008-02-22,prehistoric epic follow young mammoth hunter journey uncharted territory secure future tribe hunter indigenous lover female pyramid mammoth sapient mountain village stone age fighter primitive time saber toothe tiger prehistoric adventure Adventure Action Drama,/lg3HcDLC5Kx3RNPQjeXvvS6nen3.jpg
100 Rifles,1969-03-26,half breed indian yaqui joe rob arizona bank pursue dog lawman lyedecker flee mexico joe imprison general verdugo wage war yaqui indians lyedecker attempt intervene throw prison work escape refuge hill lyedecker meet beautiful yaqui freedom fighter sarita begin question allegiance mexico lawman   Adventure Action Western,/o5gFw65DPtkl23krmt4UfmkRyEh.jpg
100% Wolf,2020-06-26,freddy lupin heir proud family line werewolf shock 14th birthday warfing go awry turn ferocious poodle pack elder freddy moonrise prove heart wolf risk cast forever help unlikely ally streetwise stray name batty freddy prove 100 wolf poodle teen angst werewolf acceptance Animation Family Fantasy,/2VrvxK4yxNCU6KVgo5TADJeBEQu.jpg
